a,13
ac,15
accumsan,4
adipiscing,6
aenean,9
aliquam,5
aliquet,2
amet,9
ante,9
arcu,6
at,7
auctor,6
augue,9
bibendum,2
blandit,7
commodo,2
condimentum,5
congue,3
consectetuer,5
consequat,3
convallis,3
cras,4
cubilia,3
cum,1
curabitur,6
curae;,3
cursus,5
dapibus,3
diam,2
dictum,2
dictumst,2
dis,1
dolor,9
donec,10
dui,9
duis,2
egestas,9
eget,13
eleifend,5
elementum,3
elit,4
enim,6
erat,4
eros,6
est,3
et,21
etiam,6
eu,10
euismod,4
facilisis,2
fames,2
faucibus,8
felis,10
fermentum,3
feugiat,7
fringilla,6
fusce,8
gravida,3
habitant,2
habitasse,2
hac,2
hendrerit,6
iaculis,5
id,10
imperdiet,8
in,20
integer,2
interdum,2
ipsum,11
justo,6
lacinia,2
lacus,8
laoreet,4
lectus,2
leo,11
libero,12
ligula,9
lobortis,2
lorem,7
luctus,5
maecenas,5
magna,6
magnis,1
malesuada,7
massa,4
mattis,3
mauris,8
metus,11
mi,12
molestie,3
mollis,7
montes,1
morbi,6
mus,1
nam,4
nascetur,1
natoque,1
nec,18
neque,8
netus,2
nibh,4
nisi,10
nisl,5
non,8
nonummy,4
nulla,7
nullam,7
nunc,17
odio,4
orci,9
ornare,1
parturient,1
pede,8
pellentesque,11
penatibus,1
pharetra,1
phasellus,12
placerat,4
platea,2
porta,2
porttitor,2
posuere,10
praesent,9
pretium,7
primis,3
proin,2
pulvinar,4
purus,7
quam,8
quis,16
quis,1
quisque,5
rhoncus,4
ridiculus,1
risus,4
rutrum,4
sagittis,6
sapien,6
scelerisque,2
sed,15
sem,6
semper,5
senectus,2
sit,9
sociis,1
sodales,4
sollicitudin,2
suscipit,2
suspendisse,3
tellus,6
tempor,3
tempus,3
tincidunt,10
tortor,5
tristique,3
turpis,12
ullamcorper,6
ultrices,4
ultricies,5
urna,4
ut,20
varius,5
vehicula,2
vel,8
velit,8
venenatis,4
vestibulum,17
vitae,7
vivamus,2
viverra,6
volutpat,5
vulputate,5
